,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,season
0,Arsenal,28,38.0,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28,2018_19
1,Bournemouth,28,38.0,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21,2018_19
2,Brighton,21,38.0,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17,2018_19
3,Burnley,23,38.0,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19,2018_19
4,Cardiff City,25,38.0,655,375,357,234,64,241,607,39.7,366,490,147,343,529,1184,1034,18,2018_19
5,Chelsea,24,38.0,618,365,280,245,93,241,541,44.5,300,357,73,284,353,971,645,16,2018_19
6,Crystal Palace,26,38.0,733,446,398,270,65,281,590,47.6,309,441,141,300,445,1178,1011,17,2018_19
7,Everton,23,38.0,699,441,326,290,83,220,511,43.1,291,414,85,329,453,1152,877,21,2018_19
8,Fulham,28,38.0,596,362,310,231,55,224,524,42.7,300,425,144,281,434,1030,1030,28,2018_19
9,Huddersfield,31,38.0,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15,2018_19
10,Leicester City,25,38.0,675,393,344,277,54,237,549,43.2,312,429,96,333,438,1113,1034,24,2018_19
11,Liverpool,23,38.0,613,377,257,280,76,251,556,45.1,305,361,78,283,314,927,670,16,2018_19
